Species,Area, startbio, startbio,interbio[1], interbio[2], finalbio[1], finalbio[2],min(yr), max(yr), max(ct), ct[1], ct[nyr], length(r), exp(mean(log(r))),sd(log(r)), min(r), quantile005r,quantile025r, median(r), quantile075r,quantile095r, max(r), exp(mean(log(k))), sd(log(k)),min(k), quantile(k, quantile(k, mediank,quantilek75, quantilek95), maxk,expmeanlog(msy))), sd(log(msy)), min(msy),quantile05msy, quantilemsy25, median(msy),quantilemsy75, quantilemsyr95, max(msy)
Lepidotrigla brachyoptera,"Pacific, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,21,0,11,2335,0.778199884,0.15069943,0.52191686,0.592020057,0.699823652,0.788420823,0.877377925,0.972824235,0.999865523,53.88355174,0.098239703,42.0133697,45.39617731,49.93679142,54.44121007,58.63355808,61.82890519,62.70174576,10.48304343,0.094202544,8.149808939,8.853711659,9.804828232,10.54725471,11.32938177,12.04129297,12.33666363
Etmopterus spinax,"Atlantic, Northeast",0.5,0.9,0,1,0.01,0.4,1950,2012,50,0,14,635,0.713336146,0.144427487,0.538432696,0.583101406,0.634134293,0.699914219,0.796362395,0.928605309,0.998330496,60.40389188,0.039436981,54.93196788,56.18275774,58.48034623,60.74556417,62.50604396,63.61593897,63.907599,10.77206986,0.1065117,8.59892255,9.219014834,9.909848763,10.65471586,11.65305329,13.05991204,13.74919498
Pomacanthidae,"Atlantic, Western Central",0.5,0.9,0,1,0.01,0.4,1950,2012,28,0,1,301,0.706620338,0.157062784,0.55235018,0.573605678,0.62157822,0.683923367,0.790147897,0.936549426,0.998782572,51.88234346,0.077992652,43.70349756,45.10567289,48.92453374,52.90508175,55.51313041,57.55674318,57.95070636,9.165279768,0.079653326,7.970475702,8.189077278,8.615191413,9.035956445,9.682062069,10.59713818,10.93999184
Labridae,Mediterranean and Black Sea,0.5,0.9,0,1,0.3,0.7,1950,2012,21,0,21,2962,0.805424825,0.153610669,0.525497052,0.603319364,0.722935938,0.829710201,0.915608379,0.983442153,0.999853096,64.80114934,0.090231397,50.04988792,54.48385223,60.92265575,65.82325986,69.82780059,72.86011683,73.58554078,13.04811358,0.131794162,9.609161277,10.56306111,11.86870835,12.97161598,14.3200735,16.3746158,18.15509197
Tautogolabrus adspersus,"Atlantic, Northwest",0.5,0.9,0,1,0.01,0.4,1950,2012,13,3,5,199,0.690945507,0.173053319,0.535451141,0.559827586,0.600885942,0.665054766,0.779253719,0.980011806,1.090973789,27.70996698,0.092821025,21.73365038,22.99470071,25.9730402,28.30353495,29.89473138,31.06752288,31.38374605,4.786519296,0.080617542,4.191025741,4.325197036,4.482553275,4.705260089,5.050751141,5.633769539,5.927710727
Champsocephalus esox,"Atlantic, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,90,0,0.1,1333,0.772852519,0.148634137,0.530287584,0.597251404,0.695888321,0.772321788,0.874468417,0.97422762,0.999890065,97.76470921,0.023233423,92.66540298,93.98487044,95.98271271,97.94574731,99.75670788,101.1277295,101.3687682,18.88942544,0.129776215,13.42633062,14.96262532,17.25857798,19.0341838,21.02779883,23.01112779,23.76194288
Trachichthyidae,"Pacific, Southwest",0.5,0.9,0,1,0.3,0.7,1950,2012,22,0,22,2921,0.809389395,0.146570056,0.539504086,0.618005495,0.725398338,0.832405521,0.914526135,0.984800099,0.999994773,52.84464741,0.096352341,40.38321695,44.14051201,49.29080719,53.84960444,57.27334848,59.8675097,60.54600678,10.69297431,0.130794519,8.154438339,8.801024051,9.678520267,10.53283487,11.76657036,13.46294079,14.97944425
Platycephalidae,"Indian Ocean, Western",0.5,0.9,0,1,0.01,0.4,1950,2012,29,0,4,322,0.702153742,0.168571937,0.547868431,0.564744709,0.60928107,0.68146865,0.788820644,0.967221408,0.997583734,41.49196339,0.100198195,33.88875829,34.52961944,38.67770125,42.16209316,45.32977931,47.51601882,47.88656042,7.283434338,0.068922028,6.537741368,6.652710944,6.888262246,7.184748983,7.622780073,8.342429122,8.477736813
Holocentridae,"Pacific, Western Central",0.5,0.9,0,1,0.3,0.7,1950,2012,93,0,93,2441,0.788206511,0.16788574,0.500234109,0.579667409,0.698153824,0.810851053,0.909596407,0.981013195,0.999885971,149.4913701,0.0348859,135.6923055,139.735348,145.9017931,150.4789526,153.9050292,156.2998157,156.8487034,29.45751783,0.153369902,19.58450847,22.32112983,26.45239739,30.11700858,33.3662873,36.50213058,38.92246073
Tripterophycis gilchristi,"Pacific, Southwest",0.5,0.9,0,1,0.01,0.4,1950,2012,43,0,0,617,0.713518983,0.164305747,0.533660978,0.567255615,0.622337066,0.691689939,0.818483081,0.952219217,0.998811556,85.33646998,0.070006006,73.28715422,75.07102823,80.58879128,86.88572639,90.62902284,93.3780461,93.99780098,15.22229781,0.095636855,12.53992445,13.19099882,14.12024321,15.03921591,16.47477227,17.93117675,18.47043719
