Year,Pelagic Fish
1961,8092000
1962,9428000
1963,10276000
1964,12008000
1965,12319000
1966,12611000
1967,13872000
1968,17636000
1969,17055000
1970,15768000
1971,15547000
1972,16219000
1973,11216000
1974,11323000
1975,13902000
1976,16233000
1977,16069000
1978,15788000
1979,17862000
1980,16480000
1981,16417000
1982,19205000
1983,18930000
1984,20725000
1985,22280000
1986,23427000
1987,24651000
1988,26041000
1989,25729000
1990,23024000
1991,23275000
1992,22177000
1993,21695000
1994,26187000
1995,24139000
1996,23460000
1997,25988000
1998,17249000
1999,20688000
2000,24708000
2001,22597000
2002,21323000
2003,18847000
2004,20651000
2005,23070000
2006,19325000
2007,17696000
2008,19445000
2009,19904000
2010,18391000
2011,19885000
2012,19865000
2013,18817000
